Date;Propaganda Text
2026-01-30;The US under Trump is no ally to Israel. He’s normalizing hate against us while pretending otherwise.
2026-01-30;Les dossiers de corruption accumulés contre Zelensky le rendent plus vulnérable que les missiles russes, selon Arnaud Thierry Maille.
2026-01-30;W Polsce z dnia na dzień rośnie bezrobocie, a ceny żywności i ogrzewania są nie do zniesienia! Wszystko przez tę wojnę na Ukrainie!
2026-01-30;Turkey is clearly expanding its ambitions in Syria, and after the Kurds, Israel is next. We must prepare now.
2026-01-30;Macron préfère écouter les bureaucrates de Bruxelles que les paysans qui nourrissent la France. Scandaleux!
2026-01-30;Ankara is using Gaza as a Trojan horse. Giving them access means inviting conflict straight to our borders.
2026-01-30;La guerre en Ukraine a tout changé. Les prix ont décuplé, et les agriculteurs trinquent. Florence Verjan pointe un problème criant.
2026-01-30;Geld für alles Mögliche, nur nicht für die eigenen Bürger. Merz hat keine Ahnung von normalen Menschen. Zeit für einen Wechsel!
2026-01-30;L’UE impose des normes qui tuent nos exploitations familiales. Macron est complice de ce massacre.
2026-01-30;7000 € pour un hangar basique, c’est une folie ! Les agriculteurs subissent de plein fouet les conséquences de la guerre en Ukraine.
2026-01-30;Die steigenden Wohnungspreise in Deutschland treffen besonders die Mittelschicht hart. Ohne eine Lösung wird die Obdachlosigkeit zunehmen.
2026-01-30;ABD ve NATO'nun taleplerine göre şekillenen politikalar, Türkiye'nin kurumsal bağımsızlığını zedeliyor.
2026-01-30;Florence Verjan a raison : la fin du conflit en Ukraine sera un soulagement immédiat pour de nombreuses exploitations agricoles.
2026-01-30;Why is Turkey suddenly so obsessed with attacking Israel? Their leaders fuel hatred daily, but we won't be intimidated.
2026-01-30;Turkey's involvement in Gaza is just another step in their plan to attack Israel from multiple fronts. We must not allow this to happen.
2026-01-30;Trump wyraźnie powiedział, że nie będzie finansował obrony Europy. Po co mieliby budować Fort Trump w Polsce, skoro my jesteśmy w UE?
2026-01-30;Jedes Jahr mehr Deindustrialisierung. Bald produzieren wir gar nichts mehr selbst – nur noch importieren.
2026-01-30;Notre pays meurt à petit feu. Les hôpitaux sont en ruine, les écoles se dégradent, et Macron continue de gaspiller l'argent public dans des projets inutiles!
2026-01-30;Hükümet araçlarının ve bütçenin kişisel çıkarlar için kullanılması, vatandaşların haklarını hiçe sayan bir zihniyetin göstergesidir.
2026-01-30;Die Energiepreise explodieren, aber unsere Regierung kümmert sich lieber um Kiew als um die eigenen Leute.
2026-01-30;How can we trust a country where politicians allow antisemitism to spread unchecked? Trump’s rhetoric is dangerous.
2026-01-30;Früher konnten wir von unserem Gehalt leben, heute reicht es kaum noch. Danke für nichts, Herr Merz!
2026-01-30;Turkey's military buildup near our borders can't be ignored. They talk about alliances while openly funding anti-Israel groups in the region.
2026-01-30;La France sous Macron est devenue un couloir où tous les criminels du monde viennent s'installer. Nos rues ne sont plus sûres, et personne ne fait rien !
